ispb,name,code,fullName
39416705,CREDIHOME SCD,443.0,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.
39519944,MARU SCD S.A.,535.0,MARÚ SOCIEDADE DE CRÉDITO DIRETO S.A.
39587424,UY3 SCD S/A,457.0,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A
39664698,CREDSYSTEM SCD S.A.,428.0,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.
39669186,HEMERA DTVM LTDA.,448.0,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
39676772,CREDIFIT SCD S.A.,452.0,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.
39738065,FFCRED SCD S.A.,510.0,FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..
39908427,STARK SCD S.A.,462.0,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.
40083667,CAPITAL CONSIG SCD S.A.,465.0,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
40303299,PORTOPAR DTVM LTDA,306.0,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
40434681,AZUMI DTVM,463.0,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.
40475846,J17 - SCD S/A,451.0,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A
40654622,TRINUS SCD S.A.,444.0,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.
